file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus,-45.813253160806006,-45.86921382206742,3.89793929196005,8.143302997890473
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.73870225694444,-53.55518605158879,3.8598622108907312,11.443148868500742
F2BJRLP3,0.0,30.7068125,corpus,-45.999669285249105,-46.89594304786538,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,corpus,-45.43478130453752,-45.72957105607071,3.596590356271761,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.250723554782084,-52.3853639455942,2.703878157008512,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.827294418492265,-50.976518630981445,2.5633459565624697,12.358243745435463
